epochs,loss,dense_9_loss,dense_15_loss,dense_9_mae,dense_9_accuracy,dense_9_precision,dense_9_recall,dense_15_mae,dense_15_accuracy,dense_15_precision,dense_15_recall,val_loss,val_dense_9_loss,val_dense_15_loss,val_dense_9_mae,val_dense_9_accuracy,val_dense_9_precision,val_dense_9_recall,val_dense_15_mae,val_dense_15_accuracy,val_dense_15_precision,val_dense_15_recall
0,0.877098978,0.184394062,0.692704737,0.363698065,0.00616958458,0.460627764,0.205005258,0.499308974,0.518561482,0.350649327,0.0824882686,0.754631221,0.0659533069,0.688677967,0.223508894,0,0,0,0.497387409,0.531744361,0,0
1,0.735752583,0.0849903524,0.650761962,0.241169542,0.0120755117,0.497391611,0.431308568,0.46167466,0.592174649,0.597685575,0.334620953,0.562156737,0.0504898019,0.511666954,0.187248588,0.000632777868,0.696491122,0.0353785008,0.382705867,0.781691611,0.711375713,0.886148751
2,0.58975172,0.0653374493,0.524414241,0.21211189,0.014606623,0.506188571,0.506051004,0.354026228,0.751845598,0.730089188,0.767178655,0.438201219,0.0401027836,0.398098409,0.167545304,0.0286859311,0.589387119,0.935676575,0.289232165,0.838641644,0.83688879,0.827002347
3,0.520275235,0.0533459224,0.466929525,0.191271782,0.0150812063,0.516843617,0.534024715,0.309236735,0.803258777,0.771541297,0.838631094,0.381317168,0.0370452255,0.344271868,0.1635658,0.0293187089,0.588202477,0.956469297,0.247631505,0.857414067,0.825976849,0.878136873
4,0.475483835,0.0451407321,0.43034327,0.175817654,0.019405188,0.541362047,0.715752542,0.282102883,0.815017939,0.775684237,0.8664729,0.372643322,0.0344347917,0.338208586,0.16343382,0.0303733386,0.537213862,0.998751462,0.229623497,0.851508141,0.876713574,0.805231333
5,0.450515151,0.039171122,0.411344111,0.165087879,0.0236237086,0.553075552,0.835147858,0.269814521,0.829255402,0.792374551,0.875418723,0.341509998,0.0309570506,0.310552984,0.157145321,0.0303733386,0.555980027,0.997576058,0.218476683,0.865218282,0.827026248,0.897804081
6,0.432023853,0.0348648578,0.39715898,0.15630804,0.0232545882,0.57357502,0.843751013,0.259750128,0.837956131,0.801944971,0.87663269,0.318080366,0.0269959383,0.291084409,0.145514607,0.0303733386,0.588005483,0.978983045,0.187263787,0.87154609,0.868599057,0.865232766
7,0.412116349,0.0330826044,0.379033595,0.151749164,0.0263130143,0.552640796,0.931429446,0.246029302,0.84681499,0.812203705,0.882684588,0.326027483,0.0286314655,0.297396094,0.14743799,0.0303733386,0.569982111,0.994869053,0.1869414,0.865640163,0.822316706,0.904931009
8,0.395547986,0.0320204273,0.363527596,0.14978458,0.0277367644,0.541181445,0.981716394,0.236483827,0.853142798,0.822730422,0.885938406,0.320451379,0.0264023822,0.294049025,0.142286718,0.0303733386,0.561025023,0.998345315,0.176637396,0.883147001,0.879567325,0.86738205
9,0.396066964,0.031039184,0.365027785,0.147812575,0.0275785699,0.543628871,0.980641186,0.232874617,0.854988396,0.819419384,0.89760083,0.302677989,0.026240496,0.276437491,0.141578749,0.0303733386,0.543790817,1,0.177240655,0.881037772,0.853335023,0.897056758
10,0.381795913,0.0302441977,0.351551801,0.146260247,0.0277894959,0.548223138,0.986308455,0.225726798,0.859945178,0.825403094,0.895947933,0.301502794,0.0253741648,0.27612862,0.139825568,0.0303733386,0.554690599,0.999561429,0.179063499,0.881459594,0.902166843,0.835540771
11,0.376022547,0.0300367512,0.34598577,0.14593257,0.0278949589,0.547262847,0.985279679,0.221556529,0.860894322,0.831120253,0.892956138,0.303985238,0.0237795785,0.280205607,0.133604124,0.0303733386,0.560332,0.998716652,0.191586286,0.887154579,0.865070045,0.894610465
12,0.359923482,0.0289540719,0.330969363,0.142352968,0.0276840329,0.551586926,0.984006107,0.211570129,0.866061985,0.832695961,0.902835429,0.306643695,0.0236246604,0.283018976,0.13234134,0.0303733386,0.555149317,1,0.168604076,0.886732757,0.871049702,0.886283576
13,0.350576133,0.0284032561,0.32217294,0.140859738,0.0278422274,0.557412922,0.987151504,0.205554157,0.86933136,0.834427655,0.909375072,0.30104357,0.0246333927,0.276410192,0.135370344,0.0303733386,0.552900612,0.999561429,0.16983296,0.888841987,0.850127876,0.920765519
14,0.349792659,0.0281576049,0.321635038,0.139427617,0.0275785699,0.554396629,0.987250388,0.205625787,0.867854893,0.831234157,0.909556866,0.309272915,0.0227341671,0.28653875,0.130567297,0.0303733386,0.564866662,0.999561429,0.161348566,0.883568883,0.843449056,0.919673204
15,0.33289814,0.027587479,0.305310547,0.138510317,0.0276840329,0.557411671,0.985660136,0.194731146,0.874024451,0.836880803,0.916664481,0.296736538,0.0224546641,0.274281859,0.127212569,0.0303733386,0.56468159,0.999561429,0.151237503,0.892427742,0.882904232,0.884517789
16,0.316102207,0.0272091273,0.288893104,0.137000158,0.0275785699,0.558300257,0.985430598,0.182663992,0.881301403,0.845840335,0.921126723,0.295805603,0.0206921194,0.275113463,0.121134624,0.0303733386,0.57773912,0.999115407,0.157691523,0.885889053,0.843637466,0.921869695
17,0.329851359,0.0271082744,0.302743167,0.136689678,0.0277894959,0.560976386,0.986385882,0.193107426,0.875342727,0.83805275,0.917753398,0.296147496,0.0218433999,0.274304032,0.126768067,0.0303733386,0.565878451,0.999156535,0.15484862,0.888209224,0.861695826,0.901841998
18,0.318871647,0.0267218407,0.292149842,0.135439038,0.0277894959,0.55976671,0.989365876,0.183136746,0.879455805,0.838715672,0.92546469,0.286606222,0.020348819,0.266257346,0.121200129,0.0303733386,0.579366744,0.999156535,0.14983809,0.894326091,0.908510804,0.857296288
19,0.308410466,0.0266395602,0.281770974,0.134960383,0.0277367644,0.561397314,0.988381684,0.180813521,0.879403055,0.843974948,0.920024097,0.312174112,0.0223959554,0.289778173,0.127658069,0.0303733386,0.561680019,1,0.149483219,0.887576461,0.864606559,0.89649111
20,0.312869519,0.0263758395,0.286493719,0.13429755,0.0277894959,0.564352453,0.988036394,0.178740844,0.884518027,0.847283661,0.92613548,0.300013989,0.0220486559,0.277965367,0.125147179,0.0303733386,0.560411274,0.999561429,0.152994111,0.894958854,0.895019829,0.874256015
21,0.293702334,0.0258271024,0.267875224,0.132928342,0.0277367644,0.564363003,0.989581108,0.168628797,0.88747102,0.850053906,0.92944181,0.299806923,0.0210562553,0.278750688,0.123100601,0.0303733386,0.567593098,0.999561429,0.153645024,0.896857202,0.890458047,0.88371259
22,0.30290404,0.0257977042,0.277106315,0.132678673,0.0277894959,0.564759374,0.987846553,0.173448712,0.88293606,0.841587901,0.934703112,0.297984689,0.0213356167,0.276649088,0.12429706,0.0303733386,0.566934168,0.999115407,0.149464965,0.882303298,0.826470613,0.941072166
23,0.292600781,0.0252273176,0.267373472,0.131016985,0.0277367644,0.563665926,0.9914307,0.16832687,0.890845835,0.851953208,0.935667634,0.295210689,0.0227952432,0.272415429,0.129793704,0.0303733386,0.561098278,1,0.149161264,0.897911847,0.870675623,0.913368523
24,0.28965959,0.025377322,0.264282227,0.131616816,0.0277894959,0.564184248,0.98813796,0.166238248,0.891584039,0.851014256,0.939682722,0.32624653,0.0200759545,0.306170613,0.118104897,0.0303733386,0.577451229,0.998690963,0.139292017,0.893060565,0.860146344,0.915266454
